NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 01027003;BALAN_AERO;45.833000;5.106667;196;20230102;;;;;;;;;;;;;;;;;;;;;;;49;1;632;9;98;1;1954;9;71;1;0;9;504;9;9.8;9;;;1.9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230103;;;;;;;;;;;;;;;;;;;;;;;70;1;1230;9;99;1;335;9;91;1;0;9;1159;9;9.2;9;;;0.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230104;;;;;;;;;;;;;;;;;;;;;;;82;1;1227;9;100;1;55;9;95;1;0;9;1440;9;9.0;9;;;0.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230105;;;;;;;;;;;;;;;;;;;;;;;94;1;2118;9;99;1;521;9;97;1;0;9;1440;9;11.6;9;;;0.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230106;;;;;;;;;;;;;;;;;;;;;;;83;1;2337;9;99;1;9;9;95;1;0;9;1440;9;11.4;9;;;0.2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230107;;;;;;;;;;;;;;;;;;;;;;;56;1;1225;9;88;1;703;9;70;1;0;9;409;9;9.0;9;;;1.9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230108;;;;;;;;;;;;;;;;;;;;;;;59;1;8;9;88;1;1829;9;75;1;0;9;382;9;10.3;9;;;1.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230109;;;;;;;;;;;;;;;;;;;;;;;53;1;1121;9;87;1;448;9;72;1;0;9;345;9;7.2;9;;;1.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230110;;;;;;;;;;;;;;;;;;;;;;;48;1;1215;9;99;1;805;9;76;1;0;9;593;9;7.0;9;;;0.8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230111;;;;;;;;;;;;;;;;;;;;;;;67;1;216;9;100;1;2041;9;88;1;0;9;1039;9;8.0;9;;;0.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230112;;;;;;;;;;;;;;;;;;;;;;;72;1;1244;9;100;1;31;9;91;1;0;9;1222;9;8.3;9;;;0.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
